player,gp,g,a,pts,goals_pg,assists_pg,ppg
Total,19.0,235.0,112.0,347.0,12.37,5.89,18.263157894736842
"Ward, Emma",19.0,30.0,46.0,76.0,1.58,2.42,4.0
"Trinkaus, Caroline",19.0,32.0,11.0,43.0,1.68,0.58,2.263157894736842
"Muchnick, Emma",19.0,34.0,7.0,41.0,1.79,0.37,2.1578947368421053
"Britton, Gracie",19.0,20.0,10.0,30.0,1.05,0.53,1.5789473684210527
"Vogelman, Alexa",19.0,21.0,6.0,27.0,1.11,0.32,1.4210526315789473
"Cotter, Mileena",19.0,21.0,2.0,23.0,1.11,0.11,1.2105263157894737
"Caramelli, Joely",19.0,16.0,4.0,20.0,0.84,0.21,1.0526315789473684
"Guzik, Molly",19.0,14.0,5.0,19.0,0.74,0.26,1.0
"Desimone, Carlie",15.0,3.0,9.0,12.0,0.2,0.6,0.8
"DeVito, Sam",19.0,8.0,2.0,10.0,0.42,0.11,0.5263157894736842
"Parker, Annie",15.0,6.0,1.0,7.0,0.4,0.07,0.4666666666666667
"Rode, Meghan",17.0,1.0,0.0,1.0,0.06,0.0,0.058823529411764705
"Guyette, Daniella",19.0,0.0,0.0,0.0,0.0,0.0,0.0
"Benoit, Kaci",19.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vandiver, Coco",19.0,0.0,0.0,0.0,0.0,0.0,0.0
"Clark, Superia",16.0,0.0,0.0,0.0,0.0,0.0,0.0
